Fila,Nombre,Tipo,Coordenadas
1535,Sinergia Salud,UBICACION_COMPARTIDA,"-32.4878, -58.234944"
128,Posta Torreón,UBICACION_COMPARTIDA,"-32.48778, -58.23309"
694,Dra. Luciana Calle,UBICACION_COMPARTIDA,"-32.48778, -58.23285"
262,3260 Hostel,UBICACION_COMPARTIDA,"-32.48808, -58.23157"
901,Farmacia San Roque,UBICACION_COMPARTIDA,"-32.48813, -58.23157"
1523,Emilia Montañana (EM Gym),UBICACION_COMPARTIDA,"-32.48825, -58.231375"
42,Inmobiliaria Scatena,UBICACION_COMPARTIDA,"-32.4881421, -58.2306947"
194,pizzeria don quijote,UBICACION_COMPARTIDA,"-32.4879565, -58.2307294"
627,Dulce Sabor,UBICACION_COMPARTIDA,"-32.48806, -58.23051"
774,Porcomagro Local,UBICACION_COMPARTIDA,"-32.48824, -58.23067"
62,Mayorista y Minorista El Rey León,UBICACION_COMPARTIDA,"-32.4874056, -58.2759636"
504,El Pincel Pintureria,UBICACION_COMPARTIDA,"-32.48759, -58.27613"
717,Fruver,UBICACION_COMPARTIDA,"-32.48759, -58.27613"
816,Simple Aluminio,UBICACION_COMPARTIDA,"-32.48747, -58.27616"
274,Barro,UBICACION_COMPARTIDA,"-32.48771, -58.27066"
1024,Barro,UBICACION_COMPARTIDA,"-32.48771, -58.27066"
719,Verdulería La Porteña,UBICACION_COMPARTIDA,"-32.48763, -58.26079"
732,Arandu Espacio Clínico Integral,UBICACION_COMPARTIDA,"-32.48763, -58.26079"
856,Metalúrgica Barrios S.R.L.,UBICACION_COMPARTIDA,"-32.48757, -58.25678"
1383,Honda Motolitoral,UBICACION_COMPARTIDA,"-32.4875988, -58.2570424"
445,YPF (Gral. Galarza),UBICACION_COMPARTIDA,"-32.48745, -58.25142"
538,Taller Colazo,UBICACION_COMPARTIDA,"-32.4877, -58.25136"
699,CIEP Gym,UBICACION_COMPARTIDA,"-32.4877, -58.25136"
446,Combustibles Litoral SA,UBICACION_COMPARTIDA,"-32.48725, -58.25025"
621,La Última Patio de Comidas,UBICACION_COMPARTIDA,"-32.4877, -58.2501"
834,CEDELS,UBICACION_COMPARTIDA,"-32.48775, -58.25012"
820,Lubricantes Quique,UBICACION_COMPARTIDA,"-32.48751, -58.24927"
1296,Electro Refrigeración SM,UBICACION_COMPARTIDA,"-32.4873584, -58.249737"
1373,Mauro J. Scarbol (Motos y repuestos),UBICACION_COMPARTIDA,"-32.4876155, -58.2494323"
68,LOPELEC - Materiales Electricos,UBICACION_COMPARTIDA,"-32.4875496, -58.2487279"
761,Multicosas,UBICACION_COMPARTIDA,"-32.48748, -58.24857"
875,Zapatería Modelo,UBICACION_COMPARTIDA,"-32.48774, -58.24865"
120,Gym Lucianos,UBICACION_COMPARTIDA,"-32.48731, -58.24766"
1405,Lava Autos El Supremo,UBICACION_COMPARTIDA,"-32.4873138, -58.2475792"
8,Emporio Ferretero,UBICACION_COMPARTIDA,"-32.4874317, -58.2471598"
192,Panadería y Confitería San Carlos,UBICACION_COMPARTIDA,"-32.48742, -58.24691"
238,Pizzeria Circus,UBICACION_COMPARTIDA,"-32.48742, -58.2468"
317,Emporio Ferretero,UBICACION_COMPARTIDA,"-32.48743, -58.24716"
5,FerreLuz,UBICACION_COMPARTIDA,"-32.4874506, -58.2390815"
318,FerreLuz,UBICACION_COMPARTIDA,"-32.48745, -58.23908"
1016,Flor de Postre sin TACC,UBICACION_COMPARTIDA,"-32.48774, -58.23673"
1388,Bicicletería (Sarmiento 974),UBICACION_COMPARTIDA,"-32.487542, -58.2363883"
609,Los Enas Ropa Deportiva,UBICACION_COMPARTIDA,"-32.4876, -58.23231"
1317,Valemar Servicio Técnico,UBICACION_COMPARTIDA,"-32.4873934, -58.2324028"
276,Parra Pizzeria,UBICACION_COMPARTIDA,"-32.48754, -58.22542"
1021,Parra Pizzeria,UBICACION_COMPARTIDA,"-32.48754, -58.22542"
1529,Pausa Activa,UBICACION_COMPARTIDA,"-32.487217, -58.260209"
1581,Estudio de Danzas Carina Caire - Catalina Breda,UBICACION_COMPARTIDA,"-32.487205, -58.260142"
134,Aires del Campo Cabañas y Hotel,UBICACION_COMPARTIDA,"-32.48683, -58.25434"
1350,Fleming y Martolio Neumáticos,UBICACION_COMPARTIDA,"-32.4870694, -58.2542788"
916,Bicicletería El Caballo De Acero,UBICACION_COMPARTIDA,"-32.48699, -58.25088"
1062,Wok Resto - Bar,UBICACION_COMPARTIDA,"-32.48707, -58.25106"
1431,Restaino Autopartes,UBICACION_COMPARTIDA,"-32.487189, -58.2507699"
842,Alumplast Sucursal Concepción del Uruguay,UBICACION_COMPARTIDA,"-32.48718, -58.24981"
1287,Aluplast - Concepción del Uruguay,UBICACION_COMPARTIDA,"-32.4871794, -58.2498133"
51,Richard - Servicio Mecanico,UBICACION_COMPARTIDA,"-32.4872463, -58.2490376"
789,Garnier Jorge - Muebles,UBICACION_COMPARTIDA,"-32.48684, -58.2488"
1453,Americar,UBICACION_COMPARTIDA,"-32.4869848, -58.2490826"
1454,Grabado de Cristales,UBICACION_COMPARTIDA,"-32.4869848, -58.2490826"
67,Electromecanica Galarza,UBICACION_COMPARTIDA,"-32.4870976, -58.2481152"
903,La Huella Cotillón,UBICACION_COMPARTIDA,"-32.4868, -58.24794"
1368,Autopartes Daniel,UBICACION_COMPARTIDA,"-32.4868385, -58.2469702"
1437,Milano Suspensiones,UBICACION_COMPARTIDA,"-32.4868534, -58.247008"
1377,Forclaz MotoRepuestos,UBICACION_COMPARTIDA,"-32.486895, -58.244842"
1478,Kinesiología Kinefilaxia Kuhn - K3,UBICACION_COMPARTIDA,"-32.487073, -58.2448738"
1429,Rectificaciones Meyer,UBICACION_COMPARTIDA,"-32.4870119, -58.2443797"
1430,Italfiat,UBICACION_COMPARTIDA,"-32.4867874, -58.2447156"
